shipment_id,dispatch_date,day_of_week,is_weekend,region,transport_mode,carrier,product_category,distance_km,shipment_weight_kg,transportation_cost_usd,promised_delivery_days,delivery_time_days,delay_days,is_delayed,fuel_surcharge_pct,damaged_in_transit,customer_satisfaction
SHP1000,2026-05-27,Wednesday,False,South,Air,Carrier B,Electronics,2202.0,139.0,196.72,1.5,0.98,-0.52,False,9.2,False,5.0
SHP1001,2026-02-26,Thursday,False,Central,Road,Carrier A,Machinery,424.6,908.0,61.11,3.0,1.86,-1.14,False,10.0,False,4.5
SHP1002,2026-06-21,Sunday,True,West,Road,Carrier B,Electronics,256.9,255.8,33.32,3.0,2.49,-0.51,False,6.0,False,4.5
SHP1003,2026-02-04,Wednesday,False,East,Road,Carrier B,Perishables,396.8,399.2,33.85,3.0,1.48,-1.52,False,10.0,False,4.5
SHP1004,2026-04-24,Friday,False,North,Road,Carrier C,Electronics,252.4,300.7,35.43,3.0,1.31,-1.69,False,11.7,False,4.5
SHP1005,2026-05-05,Tuesday,False,North,Air,Carrier C,Electronics,1845.1,86.9,165.62,1.5,0.5,-1.0,False,6.7,False,5.0
SHP1006,2026-05-09,Saturday,True,North,Rail,Carrier B,Consumer Goods,276.8,30.4,68.15,4.5,2.96,-1.54,False,7.9,False,4.5
SHP1007,2026-02-21,Saturday,True,Central,Road,Carrier A,Perishables,518.2,570.6,62.9,3.0,3.17,0.17,True,9.9,False,4.0
SHP1008,2026-03-26,Thursday,False,West,Road,Carrier D,Consumer Goods,123.7,555.2,31.8,3.0,1.14,-1.86,False,9.4,False,4.5
SHP1009,2026-06-14,Sunday,True,West,Sea,Carrier B,Consumer Goods,3015.8,312.7,260.45,10.0,10.51,0.51,True,5.8,False,4.5
SHP1010,2026-03-06,Friday,False,North,Road,Carrier C,Machinery,550.8,892.6,64.47,3.0,1.81,-1.19,False,8.8,False,4.0
SHP1011,2026-06-28,Sunday,True,Central,Road,Carrier A,Electronics,608.2,288.2,49.04,3.0,3.44,0.44,True,7.8,False,4.5
SHP1012,2026-05-09,Saturday,True,Central,Road,Carrier B,Textiles,584.5,193.3,35.47,3.0,2.66,-0.34,False,6.6,False,5.0
SHP1013,2026-01-21,Wednesday,False,North,Air,Carrier A,Consumer Goods,2023.8,1273.1,901.33,1.5,1.34,-0.16,False,11.2,False,5.0
SHP1014,2026-06-30,Tuesday,False,North,Rail,Carrier B,Perishables,508.3,524.5,63.62,4.5,2.33,-2.17,False,8.5,False,4.5
SHP1015,2026-01-16,Friday,False,North,Road,Carrier D,Electronics,646.1,33.7,28.51,3.0,1.94,-1.06,False,10.5,False,4.5
SHP1016,2026-05-03,Sunday,True,South,Road,Carrier B,Textiles,230.7,236.5,33.93,3.0,1.6,-1.4,False,6.2,False,4.0
SHP1017,2026-03-02,Monday,False,East,Rail,Carrier A,Consumer Goods,1283.1,375.7,86.7,4.5,3.62,-0.88,False,9.7,False,4.0
SHP1018,2026-02-23,Monday,False,East,Rail,Carrier A,Consumer Goods,1119.7,531.0,76.82,4.5,3.45,-1.05,False,10.6,False,4.0
SHP1019,2026-06-17,Wednesday,False,South,Road,Carrier B,Electronics,721.8,119.8,33.77,3.0,2.0,-1.0,False,8.0,False,4.5
SHP1020,2026-01-26,Monday,False,West,Sea,Carrier A,Machinery,3529.8,1011.7,280.37,10.0,9.27,-0.73,False,7.5,False,4.0
SHP1021,2026-03-21,Saturday,True,North,Road,Carrier A,Perishables,286.2,787.6,51.32,3.0,1.79,-1.21,False,5.9,True,4.5
SHP1022,2026-03-06,Friday,False,South,Road,Carrier C,Electronics,191.5,266.0,27.76,3.0,1.42,-1.58,False,6.8,False,4.5
